fold,n_test,TP,FP,TN,FN,Threshold_YoudenTest,YoudenJ_Test,Accuracy,Precision,Recall(Sens),Specificity,F1,BalancedAcc
1,131,40,0,86,5,0.2886839509010315,0.8888888888888888,0.9618320610687023,1.0,0.8888888888888888,1.0,0.9411764705882353,0.9444444444444444
2,112,45,0,67,0,0.9274179935455322,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,138,31,18,51,38,0.4367223381996155,0.18840579710144928,0.5942028985507246,0.6326530612244898,0.4492753623188406,0.7391304347826086,0.5254237288135594,0.5942028985507246
4,227,86,86,55,0,0.0137768695130944,0.3900709219858156,0.6211453744493393,0.5,1.0,0.3900709219858156,0.6666666666666666,0.6950354609929078
5,126,19,0,106,1,0.6264930367469788,0.95,0.9920634920634921,1.0,0.95,1.0,0.9743589743589743,0.975
6,157,97,0,60,0,0.1808347702026367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,133,9,0,124,0,0.9861322045326232,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MEAN,1024,327,104,549,44,0.49429445194878746,0.7739093725680221,0.8813205465903227,0.8760932944606414,0.8983091787439613,0.8756001938240605,0.8725179772039194,0.886954686284011
