fold,tpr@0.05,tpr@0.10,tpr@0.15,tpr@0.20
1,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111
2,1.0,1.0,1.0,1.0
3,0.014492753623188406,0.17391304347826086,0.2608695652173913,0.2898550724637681
4,0.03488372093023256,0.03488372093023256,0.05813953488372093,0.06976744186046512
5,0.95,0.95,0.95,0.95
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
