fpr,mean_tpr,std_tpr
0.01,0.6945921004060539,0.46832271424152716
0.02,0.696662493780795,0.46475870404153635
0.03,0.6983236233489014,0.4619630559171148
0.04,0.7014982265235046,0.46356445757742065
0.05,0.7014982265235046,0.46356445757742065
0.06,0.7014982265235046,0.46356445757742065
0.07,0.7014982265235046,0.46356445757742065
0.08,0.7222021602709165,0.42977192352333543
0.09,0.7242725536456577,0.426632346350875
0.1,0.7242725536456577,0.426632346350875
0.11,0.7242725536456577,0.426632346350875
0.12,0.7263429470203989,0.4235403440747109
0.13,0.7263429470203989,0.4235403440747109
0.14,0.736694913894105,0.4088311566182045
0.15,0.7400171730303177,0.40221857194499944
0.16,0.7400171730303177,0.40221857194499944
0.17,0.7400171730303177,0.40221857194499944
0.18,0.7441579597798,0.39657326805483534
0.19,0.7441579597798,0.39657326805483534
0.2,0.7458190893479063,0.3932310850540411
