fold,n_test,TP,FP,TN,FN,Accuracy,Precision,Recall(Sens),Specificity,F1,BalancedAcc
1,131,39,0,86,6,0.9541984732824428,1.0,0.8666666666666667,1.0,0.9285714285714286,0.9333333333333333
2,112,45,3,64,0,0.9732142857142857,0.9375,1.0,0.9552238805970149,0.967741935483871,0.9776119402985075
3,138,0,0,69,69,0.5,0.0,0.0,1.0,0.0,0.5
4,227,0,0,141,86,0.6211453744493393,0.0,0.0,1.0,0.0,0.5
5,126,19,46,60,1,0.626984126984127,0.2923076923076923,0.95,0.5660377358490566,0.4470588235294118,0.7580188679245283
6,157,78,0,60,19,0.8789808917197452,1.0,0.8041237113402062,1.0,0.8914285714285715,0.9020618556701031
7,133,9,49,75,0,0.631578947368421,0.15517241379310345,1.0,0.6048387096774194,0.26865671641791045,0.8024193548387097
MEAN,1024,190,98,555,181,0.7408717285026231,0.48356858658582796,0.660112911143839,0.875157189446213,0.5004939250615991,0.7676350502950261
