feature,mean_importance,std_importance
Diagnosis,0.17779448694622954,0.11183592830232815
EEG: Right 1–4hz,0.09516725528580182,0.08786908207727144
EEG: Left 1–4hz,0.069637429396097,0.06539170732104108
EEG: Left 4–8hz,0.06902943665473547,0.0720457376551668
"sex (1:M, 2:F)",0.047227541566738265,0.04262752984858631
EEG: Right 4–8hz,0.03279681638824771,0.020723904310705147
EEG: Global 4–8hz,0.026163102813912823,0.019381414990156335
age_days,0.01677728535774311,0.01752898539526767
EEG: Global 1–4hz,0.011976190500714108,0.007780075604309091
