acc,loss,val_acc,val_loss
0.5792922377586365,0.6859920620918274,0.9731543660163879,0.6334614157676697
0.5753604173660278,0.6891155242919922,0.9731543660163879,0.6233075857162476
0.6068152189254761,0.6794480681419373,0.9731543660163879,0.6151637434959412
0.6212319731712341,0.6813066601753235,0.9731543660163879,0.6138482093811035
0.6382699608802795,0.6794496178627014,0.9731543660163879,0.6042636036872864
0.6539973616600037,0.6801518797874451,0.9731543660163879,0.604146420955658
0.6657929420471191,0.6763935089111328,0.9731543660163879,0.5905545949935913
0.6461336612701416,0.6735709309577942,0.9731543660163879,0.567920446395874
0.6448230743408203,0.6730297207832336,0.9731543660163879,0.5662499666213989
0.6474443078041077,0.6652234196662903,0.9731543660163879,0.5592197775840759
0.6684141755104065,0.6686344742774963,0.9731543660163879,0.5526111721992493
0.6592398285865784,0.6584320068359375,0.9731543660163879,0.5290173292160034
0.6723459959030151,0.6549544930458069,0.9731543660163879,0.5398746728897095
0.6749672293663025,0.6589146852493286,0.9731543660163879,0.5195579528808594
0.6723459959030151,0.6498580574989319,0.9731543660163879,0.5076567530632019
0.6828309297561646,0.634646475315094,0.9731543660163879,0.48167291283607483
0.6513761281967163,0.6185058355331421,0.9731543660163879,0.45243963599205017
0.6631717085838318,0.5965793132781982,0.9731543660163879,0.5242409110069275
0.6186107397079468,0.5936967134475708,0.8926174640655518,0.5770441889762878
0.642201840877533,0.5763838887214661,0.7718120813369751,0.6315624117851257
0.650065541267395,0.5768965482711792,0.9597315192222595,0.5651767253875732
0.6710354089736938,0.5655027031898499,0.6778523325920105,0.5903475284576416
0.6710354089736938,0.5720227360725403,0.7651006579399109,0.6157235503196716
0.6684141755104065,0.5467766523361206,0.9194630980491638,0.5445725917816162
0.7234600186347961,0.539426326751709,0.536912739276886,0.7223513722419739
0.701179563999176,0.5484070777893066,0.7315436005592346,0.6570576429367065
0.7221494317054749,0.5351793169975281,0.5838926434516907,0.7187496423721313
0.7064220309257507,0.5277956128120422,0.7852349281311035,0.6506962776184082
