fold,n,tpr@0.01,tpr@0.02,tpr@0.03,tpr@0.04,tpr@0.05,tpr@0.06,tpr@0.07,tpr@0.08,tpr@0.09,tpr@0.10,tpr@0.11,tpr@0.12,tpr@0.13,tpr@0.14,tpr@0.15,tpr@0.16,tpr@0.17,tpr@0.18,tpr@0.19,tpr@0.20
1,131,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111
2,112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,138,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695
4,227,0.0,0.0,0.011627906976744186,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.03488372093023256,0.10465116279069768,0.11627906976744186,0.13953488372093023,0.13953488372093023,0.2441860465116279,0.3953488372093023,0.4186046511627907,0.47674418604651164,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.5581395348837209
5,126,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
6,157,0.8762886597938144,0.8865979381443299,0.8865979381443299,0.8865979381443299,0.9072164948453608,0.9072164948453608,0.9381443298969072,0.9381443298969072,0.9484536082474226,0.9690721649484536,0.9690721649484536,0.9896907216494846,0.9896907216494846,0.9896907216494846,1.0,1.0,1.0,1.0,1.0,1.0
7,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
