fold,n_test,TP,FP,TN,FN,Accuracy,Precision,Recall(Sens),Specificity,F1,BalancedAcc
1,131,41,0,86,4,0.9694656488549618,1.0,0.9111111111111111,1.0,0.9534883720930233,0.9555555555555555
2,112,45,0,67,0,1.0,1.0,1.0,1.0,1.0,1.0
3,138,21,0,69,48,0.6521739130434783,1.0,0.30434782608695654,1.0,0.4666666666666667,0.6521739130434783
4,227,0,0,141,86,0.6211453744493393,0.0,0.0,1.0,0.0,0.5
5,126,19,0,106,1,0.9920634920634921,1.0,0.95,1.0,0.9743589743589743,0.975
6,157,59,0,60,38,0.7579617834394905,1.0,0.6082474226804123,1.0,0.7564102564102564,0.8041237113402062
7,133,0,0,124,9,0.9323308270676691,0.0,0.0,1.0,0.0,0.5
MEAN,1024,185,0,653,186,0.8464487198454901,0.7142857142857143,0.5391009085540686,1.0,0.5929891813612744,0.7695504542770343
