fpr,mean_tpr,std_tpr
0.01,0.6643490355951135,0.4554551162655817
0.02,0.6658217896451871,0.4562706004376438
0.03,0.6674829192132936,0.4534550382042241
0.04,0.6674829192132936,0.4534550382042241
0.05,0.6720895568815471,0.45238697374820075
0.06,0.6720895568815471,0.45238697374820075
0.07,0.6781689485998744,0.45243998640207755
0.08,0.6881357260085122,0.43639108181216635
0.09,0.6912696096266923,0.4348143678042949
0.1,0.6975373768630521,0.4318437120438392
0.11,0.6975373768630521,0.4318437120438392
0.12,0.7154330510761561,0.4128105388290375
0.13,0.7370277354615382,0.38721034286068023
0.14,0.7403499945977509,0.3838755499231493
0.15,0.750128396488356,0.3774273860375077
0.16,0.7584340443288876,0.3709934967357896
0.17,0.7584340443288876,0.3709934967357896
0.18,0.7584340443288876,0.3709934967357896
0.19,0.7584340443288876,0.3709934967357896
0.2,0.7617563034651003,0.36875532296798774
