fold,tpr@0.05,tpr@0.10,tpr@0.15,tpr@0.20
1,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111
2,1.0,1.0,1.0,1.0
3,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695
4,0.023255813953488372,0.13953488372093023,0.47674418604651164,0.5581395348837209
5,0.95,0.95,0.95,0.95
6,0.9072164948453608,0.9690721649484536,1.0,1.0
7,0.0,0.0,0.0,0.0
