fold,n_test,TP,FP,TN,FN,Threshold_YoudenTest,YoudenJ_Test,Accuracy,Precision,Recall(Sens),Specificity,F1,BalancedAcc
1,131,41,0,86,4,0.996794044971466,0.9111111111111111,0.9694656488549618,1.0,0.9111111111111111,1.0,0.9534883720930233,0.9555555555555555
2,112,45,0,67,0,0.7663477063179016,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,138,63,0,69,6,0.2735037505626678,0.9130434782608695,0.9565217391304348,1.0,0.9130434782608695,1.0,0.9545454545454546,0.9565217391304348
4,227,46,22,119,40,0.2905909419059753,0.37885535213590626,0.7268722466960352,0.6764705882352942,0.5348837209302325,0.8439716312056738,0.5974025974025974,0.6894276760679532
5,126,19,0,106,1,0.9967105388641356,0.95,0.9920634920634921,1.0,0.95,1.0,0.9743589743589743,0.975
6,157,85,0,60,12,0.2352802008390426,0.8762886597938144,0.9235668789808917,1.0,0.8762886597938144,1.0,0.9340659340659341,0.9381443298969072
7,133,9,55,69,0,0.2748743593692779,0.5564516129032258,0.5864661654135338,0.140625,1.0,0.5564516129032258,0.2465753424657534,0.7782258064516129
MEAN,1024,308,77,576,63,0.5477287918329239,0.7979643163149895,0.8792794530199072,0.8310136554621849,0.8836181385851469,0.9143461777298428,0.8086338107045339,0.8989821581574947
